"","company","Date","ROI10","ROI10_SPY"
"1","COST",1993-10-01,2.43388953104674,1.60824109603656
"2","CSCO",1993-12-01,13.4812174437625,1.73447155109894
"3","EMN",1994-01-01,0.337446292312035,1.84761991394347
"4","KEY",1994-03-01,2.45068553676145,1.93197287160201
"5","UNM",1994-03-01,-0.308470026817677,1.93197287160201
"6","MSFT",1994-06-01,6.95197135030015,1.87607943864468
"7","UNH",1994-07-01,4.42647060969186,1.96717338538982
"8","LUV",1994-07-01,2.24638968651442,1.96717338538982
"9","MU",1994-09-27,0.408803420464928,1.80665805053531
"10","BSX",1995-02-24,5.44292682926829,1.86662458602801
"11","AMAT",1995-03-16,3.95015773878,1.79535461647757
"12","BK",1995-03-31,3.61348355098619,1.74594442154339
"13","ALL",1995-07-13,3.70024947606452,1.54129974742111
"14","CMA",1995-12-01,2.22031972871258,1.41623493705218
"15","AON",1996-04-23,1.18632815113421,1.33093457679233
"16","AZO",1997-01-02,3.60621363106796,1.21593178189527
"17","ADBE",1997-05-05,6.22980018204885,1.1012163216868
"18","CAH",1997-05-27,1.89538906405519,1.07560773673488
"19","SCHW",1997-06-02,2.9578681118555,1.10948550559398
"20","EFX",1997-06-19,1.55843818480321,0.979824483509044
"21","APA",1997-07-28,4.6385934964311,0.820993623557236
"22","PGR",1997-08-04,1.43248186167522,0.783408350324929
"23","YUM",1997-10-06,3.70540224779039,0.852155379267323
"24","CINF",1997-12-18,0.222685131609062,0.768517493408625
"25","COF",1998-07-01,-0.00637451114337828,0.308569444296515
"26","RF",1998-08-28,-0.521310009253167,0.471434640372627
"27","AES",1998-10-02,-0.427397322464571,0.300407785070917
"28","CCL",1998-12-22,-0.338296417294541,-0.151246913840066
"29","CMS",1999-05-03,-0.636157667251995,-0.208230661904669
"30","AFL",1999-05-28,0.594294069493081,-0.174516759386361
"31","NTAP",1999-06-25,0.497184217626558,-0.171339437656451
"32","BBY",1999-06-29,0.244964860410123,-0.183487128297603
"33","VMC",1999-06-30,0.123293790754419,-0.204502657272651
"34","ADI",1999-10-12,0.110996641875949,-0.0282609258898835
"35","XLNX",1999-11-08,-0.420866085730732,-0.0571070760207679
"36","CTXS",1999-12-01,-0.198142035808256,-0.0586339503083224
"37","A",2000-06-05,-0.595621977818633,-0.14468886061423
"38","TIF",2000-06-21,0.513497602729933,-0.0991161305606684
"39","DVN",2000-08-30,1.12295184471442,-0.162425364136228
"40","EOG",2000-11-02,3.98902299537361,0.00390781759866687
"41","AYE",2000-12-05,-0.60296611010665,0.0688880160147969
"42","RHI",2000-12-05,0.0244398352743245,0.0688880160147969
"43","ABK",2000-12-05,4.6604050484297,0.0688880160147969
"44","INTU",2000-12-05,0.840196613167731,0.0688880160147969
"45","SYK",2000-12-12,1.15286659389803,0.0821057082928927
"46","CTAS",2001-03-01,-0.162626665462639,0.262808743003794
"47","FISV",2001-04-02,0.994285714285714,0.404639664862779
"48","ZION",2001-06-22,-0.52391860902626,0.263420413455865
"49","ZBH",2001-08-07,0.800267227092832,0.121273073529461
"50","ABC",2001-08-30,1.72176282704232,0.295263483135751
"51","NVDA",2001-11-30,-0.141837472837406,0.323854368472793
"52","EQR",2001-12-03,2.06608018470889,0.344900277165119
"53","SPG",2002-06-26,5.65097964716306,0.641432874575542
"54","UPS",2002-07-22,0.55911335086991,0.997329574521665
"55","EA",2002-07-22,-0.557634713983335,0.997329574521665
"56","PFG",2002-07-22,0.110904178529814,0.997329574521665
"57","GS",2002-07-22,0.427725641379909,0.997329574521665
"58","PRU",2002-07-22,0.723308651400201,0.997329574521665
"59","ANTM",2002-07-25,0.710910091380246,0.93818144482971
"60","TRV",2002-08-21,1.67925005364934,0.799339975907283
"61","DGX",2002-12-12,1.16842334835543,0.923125783323884
"62","AIV",2003-03-14,1.01107362542741,1.27096171057638
"63","PLD",2003-07-17,1.17602998453787,1.08284983934026
"64","BIIB",2003-11-13,5.6978725106383,1.05083028761435
"65","ETFC",2004-03-31,-0.826667749884064,1.02516799923812
