"","company","ROI5","ROI5_SPY","ROI10","ROI10_SPY"
"79","ORLY",3.18861406522755,1.50532055200002,10.1239225452537,3.19108117873082
"80","FTI",2.21417358649539,1.27807694123145,0.367065959708659,2.66031353797143
"81","WDC",2.67291739199489,1.36178964209712,1.29035479088259,2.91349907498247
"82","PWR",0.535870232052959,1.36178964209712,0.71539237508288,2.91349907498247
"83","FMC",1.83326549447645,1.19657139760738,3.5275503266023,2.57406679687007
"84","BKNG",5.38226744186047,1.09854865675394,10.6981974767442,2.5028489532778
"85","ROP",2.09886629941419,1.05394573064807,6.09937632193597,2.50452775428518
"86","NRG",0.0643576155312918,1.08179486354773,0.716072777130155,2.71475211819981
"87","QEP",-0.391509699916732,1.20828099993172,-0.956603086038654,2.65386198524589
"88","JCI",1.36935218436381,1.06487691451043,2.34106010081338,2.98688509613498
